Song,Artist,Compound,Negative,Neutral,Positive,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Angela,Toto,0.4939,0.1,0.787,0.114,58,False,0.49,0.126,1,-13.868,1,0.0327,0.926,3.36e-06,0.0992,0.102,99.892,ambient
Good For You,Toto,0.9743,0.031,0.708,0.261,69,False,0.607,0.673,5,-6.484,0,0.0611,0.181,0.0,0.069,0.215,88.952,dance
Hooked,Toto,0.7213,0.084,0.813,0.103,53,False,0.654,0.767,0,-6.307,1,0.0523,0.125,0.0,0.0838,0.404,122.017,deep-house
How Many Times,Toto,-0.6179,0.158,0.71,0.132,25,False,0.722,0.772,2,-5.851,1,0.0488,0.0111,1.18e-05,0.0854,0.452,94.039,disco
Isolation,Toto,0.6813,0.082,0.834,0.084,46,False,0.429,0.963,8,-3.342,1,0.0733,7.22e-06,2.19e-06,0.184,0.349,96.97,grunge
Last Love,Toto,0.9608,0.097,0.742,0.161,44,False,0.786,0.73,7,-7.625,1,0.0765,0.334,0.00199,0.231,0.688,124.997,deep-house
Live For Today,Toto,-0.758,0.101,0.872,0.027,23,False,0.476,0.938,1,-5.284,0,0.0517,0.0105,0.0,0.334,0.443,126.549,goth
Mindfields,Toto,-0.9339,0.152,0.733,0.115,49,False,0.663,0.975,3,-7.191,0,0.0468,0.00781,0.77,0.076,0.405,120.04,breakbeat
Stay Away,Toto,0.9946,0.0,0.838,0.162,58,False,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,grunge
Till The End,Toto,0.7543,0.0,0.95,0.05,0,True,0.695,0.967,7,-1.172,1,0.412,0.163,0.0,0.131,0.944,133.414,dancehall
While My Guitar Gently Weeps,Toto,0.9325,0.142,0.646,0.212,55,False,0.431,0.666,7,-11.141,1,0.0337,0.00151,0.00213,0.0527,0.619,134.777,blues
Bridges,Tracy Chapman,0.7571,0.062,0.848,0.09,40,False,0.458,0.293,2,-10.628,1,0.0426,0.744,4.97e-06,0.111,0.662,160.167,sad
Cold Feet,Tracy Chapman,0.9946,0.064,0.784,0.151,24,False,0.565,0.632,11,-7.209,1,0.0305,0.56,0.458,0.0842,0.658,118.658,bluegrass
It's Ok,Tracy Chapman,0.7808,0.162,0.676,0.162,70,False,0.561,0.111,8,-15.11,0,0.0324,0.871,0.205,0.103,0.0607,148.191,british
Never Yours,Tracy Chapman,0.8847,0.081,0.779,0.14,28,True,0.32,0.872,7,-4.869,0,0.0502,4.86e-05,0.00727,0.22,0.648,132.217,hardcore
New Beginning,Tracy Chapman,0.914,0.079,0.808,0.112,40,False,0.469,0.741,8,-6.445,1,0.0885,0.00309,0.93,0.185,0.0704,140.038,dubstep
So,Tracy Chapman,0.2186,0.097,0.81,0.093,64,False,0.539,0.407,2,-10.937,0,0.0328,0.816,0.00291,0.125,0.346,79.985,chill
Spring,Tracy Chapman,0.9549,0.029,0.807,0.164,7,False,0.673,0.796,0,-14.583,1,0.1,0.0628,0.93,0.0894,0.8,124.014,chicago-house
Why?,Tracy Chapman,-0.441,0.16,0.71,0.13,0,True,0.463,0.946,1,-3.651,1,0.0582,0.000149,0.000195,0.554,0.219,119.977,iranian
Emergency,Tragically Hip,-0.875,0.159,0.785,0.056,56,True,0.834,0.969,6,-3.383,1,0.063,0.0558,0.000723,0.0635,0.928,125.985,synth-pop
Fall Out,Train,0.9924,0.018,0.784,0.199,28,True,0.434,0.832,0,-9.513,1,0.0716,0.348,3.2e-05,0.158,0.591,93.674,acoustic
Homesick,Train,0.9873,0.069,0.741,0.19,45,False,0.55,0.0543,6,-16.258,0,0.0515,0.947,0.1,0.0756,0.292,84.469,guitar
Hopeless,Train,-0.9851,0.168,0.784,0.048,54,False,0.561,0.595,5,-6.965,1,0.0406,0.254,0.0,0.122,0.0534,126.093,soul
Blasphemy,Twenty One Pilots,0.6211,0.138,0.733,0.129,25,False,0.779,0.629,6,-4.832,1,0.527,0.0944,0.34,0.113,0.285,90.014,club
Heathens,Twenty One Pilots,0.9938,0.056,0.76,0.185,81,False,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,rock
Bad Luck,U. D. O.,-0.993,0.249,0.615,0.136,15,False,0.607,0.84,10,-2.14,0,0.0492,0.00834,0.00109,0.353,0.451,174.038,drum-and-bass
Elevation,U2,0.9604,0.028,0.841,0.131,17,True,0.509,0.886,9,-4.5,0,0.0641,0.000551,0.125,0.36,0.522,165.013,happy
Lemon,U2,0.974,0.018,0.896,0.086,70,False,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,anime
Numb,U2,-0.1497,0.097,0.802,0.101,83,False,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,alternative
Rejoice,U2,0.6249,0.055,0.876,0.07,20,False,0.55,0.557,8,-6.875,1,0.0987,0.0623,0.000231,0.154,0.439,111.383,afrobeat
Every Breath You Take,UB40,-0.0951,0.085,0.83,0.084,23,False,0.61,0.438,5,-13.021,0,0.029,0.931,0.91,0.116,0.258,99.755,anime
Friendly Fire,UB40,-0.9927,0.295,0.526,0.179,0,False,0.465,0.602,10,-9.664,1,0.078,0.806,0.00145,0.101,0.595,159.905,alternative
I Knew You,UB40,0.9827,0.13,0.63,0.24,13,False,0.675,0.184,2,-14.878,1,0.0328,0.883,0.000852,0.14,0.336,92.083,honky-tonk
Strange Fruit,UB40,-0.4939,0.132,0.788,0.08,1,False,0.445,0.0553,11,-10.806,0,0.053,0.938,0.0,0.0865,0.22,87.228,blues
Tyler,UB40,-0.8975,0.134,0.821,0.045,55,True,0.908,0.567,1,-8.192,1,0.148,0.282,0.0,0.119,0.723,97.99,sad
Lights Out,Ufo,0.924,0.062,0.788,0.15,54,True,0.57,0.43,8,-10.935,0,0.037,0.334,1.29e-06,0.111,0.156,90.013,chill
Serenity,Ufo,0.9944,0.03,0.75,0.22,44,False,0.602,0.874,6,-7.458,1,0.0475,0.689,0.923,0.103,0.0611,127.007,minimal-techno
Everything About You,Ugly Kid Joe,-0.9945,0.254,0.715,0.031,60,False,0.393,0.0717,9,-31.148,1,0.0591,0.995,0.856,0.0863,0.358,87.708,piano
Neighbor,Ugly Kid Joe,0.9944,0.111,0.633,0.256,42,False,0.439,0.292,0,-10.92,1,0.0308,0.744,6.27e-05,0.0987,0.153,82.222,acoustic
Sleepwalk,Ultravox,-0.8168,0.176,0.771,0.052,52,False,0.322,0.589,4,-8.646,1,0.04,0.0384,0.611,0.0618,0.216,184.151,garage
Slip Away,Ultravox,0.2545,0.079,0.858,0.064,53,False,0.603,0.509,1,-6.824,1,0.0311,0.374,2.91e-05,0.0627,0.572,136.592,psych-rock
Slow Motion,Ultravox,-0.4836,0.03,0.97,0.0,71,True,0.733,0.479,11,-9.27,0,0.301,0.575,0.00053,0.0831,0.485,88.742,dance
Waiting,Ultravox,0.6124,0.077,0.817,0.107,45,False,0.448,0.915,9,-4.737,1,0.0685,0.00108,0.000338,0.231,0.626,139.927,alt-rock
It Is What It Is,Uncle Kracker,0.9984,0.046,0.715,0.239,46,False,0.515,0.72,11,-8.218,1,0.0285,0.0445,0.0,0.107,0.511,84.011,grunge
Criminals,Uncle Tupelo,-0.8847,0.114,0.811,0.075,52,False,0.591,0.885,8,-5.193,1,0.0287,0.00152,0.482,0.112,0.111,109.983,club
To Whom It May Concern,Underoath,-0.8369,0.127,0.828,0.045,44,False,0.309,0.159,7,-13.101,1,0.0315,0.912,0.000264,0.1,0.139,87.493,acoustic
Walking Away,Underoath,-0.8141,0.164,0.714,0.122,63,False,0.596,0.688,9,-6.367,0,0.0345,0.196,0.0,0.121,0.817,172.837,british
Writing On The Walls,Underoath,0.9571,0.044,0.823,0.133,60,False,0.358,0.959,2,-3.139,0,0.0874,0.00364,0.000237,0.356,0.171,91.938,metalcore
Crocodile,Underworld,0.8738,0.0,0.946,0.054,41,True,0.692,0.632,10,-4.242,0,0.0845,0.109,0.0,0.0904,0.626,82.54,r-n-b
Spoonman,Underworld,-0.4075,0.105,0.789,0.106,0,False,0.258,0.904,0,-5.625,1,0.0386,2.2e-05,0.218,0.255,0.832,186.054,alt-rock
Texas,Underworld,0.9279,0.091,0.736,0.173,30,False,0.478,0.333,2,-10.543,1,0.0288,0.786,2.46e-05,0.103,0.317,151.675,bluegrass
Failure,Unearth,-0.985,0.244,0.651,0.106,12,False,0.359,0.988,11,-4.426,0,0.223,3.04e-05,0.929,0.444,0.0323,124.867,grindcore
Letting Go,Unearth,-0.9505,0.186,0.737,0.076,59,False,0.667,0.635,6,-5.924,1,0.0365,0.0534,0.0,0.0963,0.217,119.948,deep-house
This Glorious Nightmare,Unearth,-0.9847,0.297,0.589,0.114,26,False,0.309,0.981,11,-3.609,1,0.179,0.000211,0.0768,0.297,0.268,147.269,death-metal
To The Ground,Unearth,-0.8976,0.129,0.854,0.017,49,False,0.556,0.855,6,-8.916,1,0.0693,0.0137,0.323,0.202,0.0534,123.989,trance
Be There,Unkle,0.9037,0.239,0.6,0.161,24,False,0.696,0.751,7,-10.141,1,0.0386,0.0506,0.0302,0.117,0.663,135.036,breakbeat
Outro,Unkle,0.9887,0.087,0.524,0.389,65,False,0.162,0.256,2,-11.296,1,0.0346,0.0332,0.0923,0.0621,0.0784,108.893,french
La Vie En Rose,Unknown,0.8834,0.0,0.883,0.117,62,False,0.475,0.149,4,-11.429,1,0.0395,0.844,0.0,0.14,0.318,95.423,folk
Police Brutality,Unseen,-0.9708,0.299,0.548,0.153,13,False,0.233,0.992,5,-4.417,0,0.201,0.000462,0.603,0.323,0.0614,112.744,grindcore
Scream Out,Unseen,-0.9512,0.294,0.461,0.244,31,False,0.292,0.991,2,-6.74,1,0.118,0.00635,3.17e-05,0.0826,0.221,160.498,hardcore
Genocide,Unwritten Law,-0.738,0.096,0.84,0.064,23,False,0.402,0.854,6,-4.053,0,0.0474,0.00471,0.000359,0.389,0.199,90.033,goth
Lost Control,Unwritten Law,-0.9107,0.133,0.793,0.074,65,False,0.736,0.555,4,-4.689,1,0.0757,0.0345,0.000157,0.0798,0.323,91.997,electro
Shallow,Unwritten Law,-0.7717,0.083,0.844,0.072,41,False,0.613,0.346,7,-11.33,1,0.0398,0.89,0.913,0.0994,0.128,95.981,acoustic
Bad Blood,Uriah Heep,-0.9909,0.351,0.544,0.105,36,False,0.483,0.807,5,-3.934,1,0.233,0.0362,0.0,0.32,0.637,169.862,children
Celebrate,Uriah Heep,0.9595,0.095,0.708,0.197,29,True,0.756,0.65,6,-5.718,0,0.0286,0.0221,0.0,0.275,0.723,126.011,dancehall
Choices,Uriah Heep,-0.3172,0.164,0.682,0.154,19,False,0.476,0.349,2,-11.635,1,0.0275,0.537,0.0,0.0805,0.316,138.085,honky-tonk
Feels Like,Uriah Heep,0.9897,0.094,0.663,0.243,71,False,0.617,0.483,11,-7.359,1,0.0458,0.702,0.000216,0.121,0.176,144.99,indie-pop
Lady In Black,Uriah Heep,0.9077,0.155,0.682,0.163,58,False,0.547,0.698,7,-7.686,1,0.0384,0.218,0.000132,0.211,0.574,87.467,psych-rock
The Wizard,Uriah Heep,0.9798,0.051,0.731,0.218,20,False,0.378,0.552,6,-14.155,1,0.0519,0.369,0.851,0.247,0.652,157.859,guitar
Find A Way,Used,0.9947,0.094,0.546,0.36,54,False,0.898,0.814,7,-5.218,1,0.118,0.000121,0.426,0.147,0.608,124.041,deep-house
Give Me Love,Used,0.9869,0.048,0.83,0.123,51,False,0.578,0.344,4,-13.383,1,0.0378,0.573,4.02e-05,0.667,0.108,123.937,chill
This Fire,Used,-0.9412,0.198,0.679,0.123,61,False,0.447,0.993,7,-3.022,1,0.111,1.56e-05,0.027,0.474,0.108,140.018,metal
Dive,Usher,0.9927,0.047,0.775,0.178,45,False,0.423,0.921,7,-3.784,1,0.0402,0.00364,0.588,0.101,0.0376,174.019,drum-and-bass
Euphoria,Usher,0.9972,0.022,0.75,0.228,22,False,0.471,0.895,7,-3.538,0,0.0462,0.00127,0.624,0.092,0.407,94.983,goth
Revolver,Usher,0.9474,0.169,0.626,0.205,12,False,0.471,0.754,10,-9.226,0,0.154,0.284,0.83,0.0751,0.21,113.032,idm
Same Girl,Usher,0.9937,0.035,0.835,0.129,37,False,0.322,0.0347,2,-18.39,0,0.0375,0.978,0.00132,0.116,0.0993,77.233,disney
Scream,Usher,0.9793,0.106,0.721,0.173,28,False,0.664,0.832,2,-6.093,0,0.0521,0.000844,0.0,0.137,0.419,140.02,trance
Simple Things,Usher,0.9849,0.107,0.711,0.181,22,False,0.415,0.0705,0,-21.322,1,0.0779,0.989,0.759,0.0959,0.318,160.42,new-age
Slow Love,Usher,0.9971,0.021,0.735,0.244,45,False,0.674,0.855,10,-6.783,0,0.336,0.781,0.00299,0.333,0.77,75.022,soul
Sweet Lies,Usher,0.9841,0.093,0.755,0.152,10,False,0.616,0.943,2,-7.789,1,0.0371,1.82e-05,0.839,0.0471,0.352,130.005,breakbeat
Distance,Utada Hikaru,0.5556,0.04,0.892,0.068,67,False,0.368,0.754,1,-4.893,1,0.317,0.166,0.0,0.112,0.522,170.029,cantopop
First Love,Utada Hikaru,0.9783,0.058,0.77,0.172,65,False,0.438,0.434,7,-8.37,1,0.0371,0.122,0.0,0.15,0.195,179.913,anime
Stay Gold,Utada Hikaru,0.9976,0.06,0.677,0.262,12,False,0.481,0.359,4,-7.712,1,0.0308,0.359,0.000157,0.175,0.18,67.279,honky-tonk
Black Hole,Utopia,0.9533,0.128,0.67,0.202,56,False,0.518,0.861,6,-6.998,0,0.0493,0.00189,0.000539,0.0747,0.317,100.08,death-metal
Feet Don't Fail Me Now,Utopia,0.9885,0.045,0.726,0.23,61,False,0.662,0.84,6,-3.112,1,0.0509,0.17,0.000226,0.155,0.568,112.914,soul
Hiroshima,Utopia,-0.646,0.134,0.733,0.133,41,False,0.698,0.358,2,-9.843,0,0.151,0.396,0.0,0.356,0.3,107.052,mpb
I Will Wait,Utopia,0.9153,0.023,0.903,0.074,44,False,0.421,0.107,6,-15.191,1,0.0335,0.948,0.0,0.0881,0.118,104.218,acoustic
Monument,Utopia,0.9615,0.07,0.744,0.185,38,False,0.75,0.912,6,-10.066,1,0.0402,0.000555,0.877,0.0919,0.151,124.996,minimal-techno
Secret Society,Utopia,-0.3919,0.045,0.923,0.033,11,False,0.629,0.179,10,-13.725,0,0.0626,0.075,0.879,0.383,0.379,88.048,study
Shot In The Dark,Utopia,0.9353,0.055,0.793,0.152,63,False,0.599,0.787,2,-4.708,1,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,hard-rock
The Wheel,Utopia,0.8567,0.066,0.821,0.113,20,False,0.535,0.806,9,-5.285,0,0.0352,0.0704,0.803,0.348,0.586,107.729,goth
Windows,Utopia,0.795,0.076,0.817,0.106,29,False,0.655,0.488,11,-6.36,1,0.0376,0.82,0.321,0.113,0.398,105.953,club
Aftershock,Van Halen,0.8531,0.096,0.78,0.125,5,False,0.199,0.539,11,-20.546,1,0.0882,0.577,0.896,0.11,0.15,125.384,iranian
D.O.A.,Van Halen,-0.9897,0.269,0.651,0.08,26,True,0.817,0.532,9,-7.427,0,0.0571,0.0145,0.0581,0.356,0.964,119.985,synth-pop
Unchained,Van Halen,0.8932,0.047,0.849,0.104,22,False,0.287,0.968,8,-7.816,1,0.115,8.59e-05,0.0589,0.0674,0.32,127.816,goth
Why Can't This Be Love,Van Halen,-0.9797,0.181,0.736,0.082,66,False,0.531,0.626,0,-13.371,1,0.0452,0.0606,0.0,0.0767,0.746,88.236,hard-rock
You Really Got Me,Van Halen,0.8841,0.019,0.9,0.081,38,False,0.569,0.959,8,-3.703,1,0.0996,0.0911,0.00026,0.0809,0.96,137.394,british
Benediction,Van Morrison,0.9975,0.0,0.514,0.486,41,False,0.283,0.0678,2,-13.795,1,0.033,0.704,0.00125,0.11,0.179,86.938,world-music
Don't Look Back,Van Morrison,-0.3865,0.079,0.87,0.05,44,False,0.494,0.964,3,-2.346,1,0.0819,0.0354,0.0121,0.175,0.27,149.973,dubstep
Down The Road,Van Morrison,0.9501,0.072,0.78,0.148,21,False,0.629,0.529,11,-12.69,1,0.0412,0.554,0.53,0.122,0.972,115.97,bluegrass
Just Friends,Vanessa Williams,0.9932,0.09,0.709,0.202,56,False,0.868,0.656,7,-6.579,1,0.0351,0.0879,0.00316,0.14,0.793,114.991,chill
Lost Without You,Vanessa Williams,-0.6326,0.092,0.86,0.048,32,False,0.611,0.534,7,-8.899,1,0.0744,0.423,0.0,0.145,0.38,159.985,acoustic
Merry Christmas Darling,Vanessa Williams,0.9988,0.026,0.498,0.476,0,False,0.544,0.291,0,-13.898,1,0.0274,0.714,0.000288,0.0963,0.168,75.945,rock
The Holly And The Ivy,Vanessa Williams,0.936,0.083,0.764,0.153,0,False,0.251,0.0966,7,-26.353,1,0.0625,0.989,0.000178,0.0841,0.077,92.981,sleep
Winter Weather,Vanessa Williams,0.9964,0.0,0.729,0.271,0,False,0.74,0.535,5,-6.103,0,0.0526,0.919,0.556,0.319,0.83,153.63,jazz
Dancin',Vanilla Ice,0.912,0.049,0.888,0.063,12,False,0.781,0.227,7,-12.198,1,0.0294,0.833,0.0,0.115,0.31,112.038,honky-tonk
Fame,Vanilla Ice,0.9927,0.117,0.685,0.198,66,False,0.7,0.73,0,-8.763,0,0.0311,0.132,0.0,0.133,0.961,130.519,disco
Ice Cold,Vanilla Ice,0.941,0.109,0.755,0.136,0,False,0.739,0.723,5,-4.972,0,0.0338,0.288,0.0,0.119,0.429,124.03,electronic
Cool It Down,Velvet Underground,0.9948,0.042,0.735,0.223,29,False,0.709,0.545,4,-10.565,0,0.188,0.217,0.000819,0.108,0.669,157.526,dub
Venus In Furs,Velvet Underground,0.8862,0.086,0.755,0.159,57,False,0.225,0.618,8,-9.922,0,0.0331,0.00137,0.616,0.079,0.567,144.724,psych-rock
Die Hard,Venom,-0.9929,0.408,0.497,0.095,26,True,0.685,0.985,11,-1.216,0,0.0898,0.0303,0.142,0.301,0.668,144.947,hardstyle
Firelight,Venom,-0.9476,0.215,0.702,0.082,41,False,0.442,0.721,10,-5.17,1,0.0391,0.258,2.66e-06,0.221,0.373,144.926,dub
Parasite,Venom,0.9848,0.03,0.8,0.17,62,False,0.478,0.916,1,-7.505,1,0.0933,5.63e-05,0.00258,0.437,0.519,154.937,metalcore
Playtime,Venom,0.9433,0.059,0.828,0.113,5,False,0.786,0.641,4,-7.249,0,0.0754,0.000559,0.451,0.0994,0.321,116.954,chicago-house
Speed King,Venom,-0.6564,0.089,0.857,0.054,47,False,0.547,0.836,11,-6.979,0,0.0385,0.0114,0.862,0.355,0.277,109.996,trip-hop
The Bells Of St. Mary's,Vera Lynn,0.9867,0.011,0.75,0.239,0,False,0.456,0.167,9,-11.542,1,0.0278,0.847,0.275,0.136,0.175,142.325,singer-songwriter
When You Wish Upon A Star,Vera Lynn,0.9948,0.049,0.658,0.293,31,False,0.188,0.331,6,-13.421,0,0.0331,0.955,0.0541,0.092,0.149,77.0,disney
Everything You Want,Vertical Horizon,0.7684,0.027,0.913,0.06,50,False,0.553,0.574,3,-7.87,1,0.0288,0.387,4.95e-05,0.103,0.427,114.845,groove
Famous,Vertical Horizon,0.9792,0.058,0.767,0.175,0,False,0.804,0.954,11,-9.166,0,0.0689,0.000445,0.898,0.0894,0.12,126.997,deep-house
You Say,Vertical Horizon,-0.7184,0.083,0.895,0.022,75,False,0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,alt-rock
Perfect Love,Veruca Salt,0.9991,0.11,0.335,0.555,37,False,0.573,0.881,8,-7.097,1,0.0509,0.000915,0.0,0.202,0.51,126.039,world-music
Stoneface,Veruca Salt,0.9944,0.046,0.738,0.216,25,False,0.408,0.933,0,-2.828,0,0.0398,9.38e-05,0.0,0.124,0.51,136.037,grunge
Country Song,Verve,0.9803,0.04,0.787,0.173,12,False,0.595,0.834,0,-5.752,1,0.0308,0.354,0.0,0.248,0.808,132.134,honky-tonk
Feel,Verve,0.4981,0.073,0.752,0.175,52,False,0.835,0.752,3,-5.371,0,0.115,0.31,0.0,0.268,0.737,100.011,dancehall
Midnight Train,Vince Gill,0.4019,0.097,0.795,0.109,12,False,0.386,0.977,4,-5.291,1,0.0869,0.0259,3.08e-06,0.191,0.898,161.222,honky-tonk
Never Alone,Vince Gill,0.9173,0.109,0.678,0.213,57,False,0.705,0.866,8,-5.036,0,0.0563,0.171,0.000162,0.645,0.816,127.986,happy
With You,Vince Gill,0.9556,0.0,0.897,0.103,67,False,0.648,0.607,11,-6.399,1,0.0577,0.3,0.0,0.163,0.356,154.901,chill
Worlds Apart,Vince Gill,0.9388,0.035,0.832,0.134,54,False,0.707,0.557,5,-8.848,0,0.0356,0.185,0.901,0.0999,0.124,113.023,electronic
Black Girls,Violent Femmes,0.544,0.118,0.761,0.121,26,False,0.608,0.61,11,-13.99,0,0.0702,0.0278,0.335,0.0369,0.669,121.275,acoustic
Good Feeling,Violent Femmes,0.967,0.043,0.757,0.2,47,False,0.369,0.319,2,-12.088,1,0.0288,0.752,0.000837,0.154,0.476,160.359,acoustic
Heartache,Violent Femmes,0.6222,0.035,0.888,0.077,57,False,0.415,0.689,1,-6.486,1,0.0302,0.154,0.0,0.0637,0.245,143.043,emo
Mosh Pit,Violent Femmes,-0.9922,0.26,0.654,0.086,63,True,0.81,0.639,1,-3.959,1,0.0672,0.0745,0.0,0.278,0.286,83.49,emo
Looking For Something,Vonda Shepard,0.9899,0.044,0.762,0.194,58,False,0.476,0.838,9,-6.292,1,0.029,0.0128,0.837,0.298,0.365,146.044,garage
Ghetto Youth,Vybz Kartel,-0.9967,0.215,0.679,0.107,19,False,0.914,0.775,11,-4.75,0,0.201,0.0532,0.0,0.0327,0.544,112.338,trip-hop
My Crew,Vybz Kartel,0.986,0.047,0.853,0.1,24,False,0.806,0.851,11,-5.03,0,0.0508,0.544,9.05e-06,0.127,0.84,141.022,j-dance
Real Bad Man,Vybz Kartel,0.9179,0.075,0.808,0.117,21,True,0.627,0.809,5,-4.231,0,0.307,0.0262,3.67e-06,0.161,0.778,66.541,j-dance
Wine Pon Me,Vybz Kartel,0.9995,0.008,0.725,0.267,22,False,0.474,0.801,10,-5.418,0,0.185,0.0498,0.000122,0.108,0.295,133.885,j-dance
Funnel Of Love,Wanda Jackson,0.9451,0.137,0.642,0.221,56,False,0.6,0.593,0,-9.799,1,0.0452,0.726,0.0,0.399,0.912,134.979,rock-n-roll
Lonely Street,Wanda Jackson,-0.9843,0.325,0.588,0.087,12,False,0.484,0.256,11,-8.986,1,0.026,0.773,0.0,0.107,0.459,87.702,honky-tonk
Rock Your Baby,Wanda Jackson,0.0328,0.03,0.939,0.031,62,False,0.594,0.906,1,-5.536,1,0.0594,0.169,0.00122,0.0778,0.892,104.411,disco
Today I Started Loving You Again,Wanda Jackson,0.6908,0.148,0.667,0.185,16,False,0.551,0.375,6,-7.932,1,0.0247,0.668,0.000168,0.128,0.335,139.397,honky-tonk
Betrayal,Wang Chung,-0.9773,0.217,0.623,0.16,30,True,0.773,0.763,2,-6.917,1,0.157,0.0441,5.52e-06,0.0838,0.51,85.031,idm
Excitable Boy,Warren Zevon,0.9776,0.064,0.689,0.246,0,False,0.628,0.854,7,-7.045,1,0.0343,0.0827,0.0232,0.153,0.922,151.551,country
Turbulence,Warren Zevon,-0.9886,0.226,0.729,0.045,24,False,0.468,0.865,6,-10.118,0,0.0448,0.0475,0.935,0.294,0.0393,178.492,happy
Werewolves Of London,Warren Zevon,0.955,0.0,0.891,0.109,37,False,0.632,0.875,7,-4.689,1,0.0274,0.00492,8.35e-06,0.382,0.908,104.278,children
Forever Free,W.A.S.P.,0.9931,0.09,0.641,0.269,8,False,0.381,0.733,5,-7.759,1,0.0398,0.0141,0.841,0.0772,0.134,114.968,detroit-techno
I Don't Need No Doctor,W.A.S.P.,0.9577,0.086,0.676,0.238,20,False,0.393,0.879,0,-9.501,1,0.0787,0.000271,7.24e-06,0.161,0.434,120.098,goth
Thunderhead,W.A.S.P.,-0.9976,0.312,0.589,0.1,22,False,0.329,0.906,9,-5.242,0,0.0453,6.43e-06,0.933,0.35,0.597,107.908,goth
Burning Memories,Waylon Jennings,0.9236,0.081,0.708,0.211,13,False,0.386,0.399,10,-12.42,1,0.031,0.75,6.82e-05,0.378,0.548,102.175,honky-tonk
If You Can Touch Her At All,Waylon Jennings,0.7283,0.108,0.782,0.109,10,False,0.517,0.164,7,-16.363,1,0.0316,0.612,0.0,0.169,0.427,144.294,honky-tonk
El Camino,Ween,0.743,0.0,0.955,0.045,32,False,0.597,0.701,7,-12.003,1,0.0301,0.0274,4.91e-06,0.124,0.771,100.008,ska
Gabrielle,Ween,0.9977,0.097,0.603,0.3,0,False,0.707,0.722,10,-6.722,1,0.0284,0.0485,0.0,0.122,0.431,98.991,country
December,Weezer,0.9936,0.062,0.526,0.412,64,False,0.683,0.645,0,-5.707,1,0.0272,0.589,0.00432,0.18,0.366,121.995,grunge
Falling For You,Weezer,0.9915,0.105,0.629,0.266,44,False,0.394,0.962,4,-3.88,0,0.16,0.00589,0.00324,0.325,0.0747,144.698,dub
Hash Pipe,Weezer,-0.4116,0.125,0.795,0.08,69,False,0.578,0.882,7,-6.354,1,0.044,0.000121,0.479,0.284,0.623,125.603,power-pop
Perfect Situation,Weezer,-0.664,0.115,0.791,0.095,55,False,0.47,0.806,6,-4.1,1,0.0328,0.0271,0.000142,0.2,0.403,93.853,power-pop
Pork And Beans,Weezer,-0.3544,0.132,0.738,0.129,52,False,0.599,0.626,6,-6.622,1,0.0339,0.0108,8.8e-06,0.158,0.708,119.837,power-pop
Bob,Weird Al Yankovic,-0.9886,0.269,0.667,0.064,30,True,0.415,0.713,0,-5.529,1,0.0345,0.0555,0.0,0.0811,0.361,83.69,acoustic
Close,Westlife,0.9966,0.01,0.755,0.235,7,False,0.0651,0.205,0,-22.915,1,0.038,0.979,0.958,0.105,0.0355,67.658,iranian
Close Your Eyes,Westlife,0.9955,0.015,0.806,0.179,3,False,0.548,0.728,5,-5.678,0,0.0507,0.0104,0.000126,0.146,0.337,105.961,dance
Don't Let Me Go,Westlife,0.9685,0.068,0.797,0.135,64,False,0.414,0.369,6,-9.606,1,0.0262,0.453,0.501,0.0985,0.17,96.722,ambient
Dreams Come True,Westlife,0.9944,0.0,0.711,0.289,43,False,0.451,0.354,8,-8.22,0,0.0307,0.169,0.0,0.14,0.268,140.084,goth
Heal,Westlife,-0.4482,0.078,0.827,0.095,74,False,0.445,0.179,1,-12.938,1,0.0396,0.952,0.00056,0.107,0.119,72.246,chill
Mandy,Westlife,0.4408,0.117,0.766,0.117,69,False,0.308,0.464,10,-9.032,1,0.0279,0.418,2.49e-06,0.143,0.318,103.734,disco
Open Your Heart,Westlife,0.9965,0.033,0.748,0.22,23,False,0.444,0.873,5,-5.179,0,0.0443,9.51e-06,0.0187,0.213,0.372,114.591,industrial
Reach Out,Westlife,-0.5975,0.097,0.762,0.141,66,False,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487,120.984,alt-rock
Soledad,Westlife,0.7003,0.062,0.871,0.067,33,False,0.535,0.897,6,-5.512,0,0.0352,0.00133,0.00105,0.32,0.822,108.619,ska
The Easy Way,Westlife,0.9971,0.035,0.685,0.28,21,False,0.485,0.991,6,-3.398,1,0.145,0.191,0.0635,0.433,0.419,169.99,happy
More Than Love,Wet Wet Wet,0.9791,0.071,0.76,0.169,21,True,0.575,0.991,11,-2.721,0,0.0462,0.000226,0.436,0.0983,0.587,100.095,industrial
