Song,Artist,Compound,Negative,Neutral,Positive,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Round And Round,Aerosmith,0.9667,0.012,0.852,0.137,59,False,0.604,0.687,0,-5.13,0,0.0327,0.757,0.234,0.0718,0.504,119.992,k-pop
Somebody,Aerosmith,0.9069,0.097,0.707,0.196,29,False,0.932,0.58,1,-11.198,1,0.0633,0.156,0.696,0.143,0.373,139.995,club
Something,Aerosmith,0.9105,0.009,0.899,0.092,21,False,0.695,0.714,8,-4.386,1,0.0611,0.00374,0.000302,0.177,0.77,116.035,afrobeat
Sunshine,Aerosmith,0.9984,0.05,0.557,0.393,0,False,0.59,0.8,1,-5.044,0,0.0441,0.000653,0.905,0.0512,0.21,127.996,dance
Sweet Emotion,Aerosmith,0.9963,0.085,0.539,0.376,74,False,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,hard-rock
Take It Easy,Aerosmith,0.998,0.032,0.7,0.268,0,False,0.633,0.876,7,-5.21,1,0.0276,0.0116,0.0,0.0537,0.738,140.971,country
Temperature,Aerosmith,0.9217,0.021,0.835,0.144,79,False,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,dance
The Hand That Feeds,Aerosmith,0.9908,0.073,0.691,0.236,58,False,0.587,0.99,0,-4.496,1,0.0783,0.0172,0.000668,0.104,0.486,127.992,industrial
The Other Side,Aerosmith,0.9919,0.102,0.727,0.171,35,False,0.669,0.534,0,-8.791,1,0.221,0.146,0.0,0.14,0.704,153.857,anime
Think About It,Aerosmith,0.4767,0.029,0.91,0.061,11,False,0.286,0.959,11,-8.936,1,0.0603,7.11e-06,0.572,0.196,0.41,106.483,grindcore
Walk On Water,Aerosmith,0.9641,0.088,0.74,0.173,64,False,0.495,0.787,8,-6.89,1,0.0368,9.16e-05,0.0,0.167,0.388,140.003,grunge
After All,Air Supply,-0.7144,0.061,0.888,0.051,57,False,0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,piano
All By Myself,Air Supply,0.9182,0.051,0.82,0.128,76,False,0.662,0.848,0,-4.338,0,0.0346,0.0932,7.62e-06,0.241,0.773,123.041,electro
Always,Air Supply,0.5106,0.037,0.886,0.077,59,False,0.804,0.771,7,-3.836,1,0.059,0.0466,0.0,0.109,0.73,110.014,anime
Believer,Air Supply,0.886,0.072,0.81,0.118,48,False,0.49,0.894,7,-4.474,0,0.0431,0.0129,0.00276,0.0974,0.189,173.949,drum-and-bass
Can't Fight This Feeling,Air Supply,0.9387,0.081,0.775,0.144,73,False,0.408,0.48,9,-11.017,1,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,hard-rock
Come To Me,Air Supply,0.8481,0.028,0.893,0.079,25,False,0.393,0.792,9,-7.37,0,0.0613,0.382,0.0403,0.0876,0.105,167.08,happy
Crazy Love,Air Supply,-0.9634,0.167,0.72,0.113,53,False,0.691,0.883,11,-1.326,0,0.0488,0.318,2.45e-05,0.0742,0.606,109.982,progressive-house
Daybreak,Air Supply,-0.8385,0.135,0.804,0.061,22,False,0.457,0.981,8,-4.11,1,0.104,9.08e-05,4.86e-05,0.401,0.191,132.01,death-metal
Do It Again,Air Supply,-0.7106,0.048,0.952,0.0,51,False,0.867,0.714,4,-5.144,1,0.0662,0.0224,0.704,0.104,0.623,123.974,breakbeat
Don't Be Afraid,Air Supply,0.8384,0.047,0.809,0.143,24,False,0.575,0.974,10,-4.148,0,0.0573,0.00106,0.000615,0.181,0.509,98.844,industrial
Don't Tell Me,Air Supply,0.9204,0.104,0.748,0.149,41,False,0.395,0.61,5,-6.827,1,0.0415,0.23,0.0,0.0824,0.236,158.069,dub
Don't Walk Away,Air Supply,0.5239,0.025,0.934,0.041,22,False,0.545,0.494,11,-4.595,1,0.0323,0.844,0.0,0.129,0.531,137.958,show-tunes
End Of The Line,Air Supply,0.981,0.012,0.867,0.121,73,False,0.578,0.836,2,-6.607,1,0.0512,0.163,1.36e-06,0.0583,0.932,167.026,blues
Faith,Air Supply,0.9849,0.03,0.765,0.205,45,False,0.558,0.608,8,-5.772,1,0.049,0.345,0.0,0.0853,0.371,130.941,dub
Here I Am,Air Supply,0.3526,0.066,0.842,0.092,29,False,0.722,0.317,5,-10.93,1,0.111,0.26,0.0,0.0558,0.582,72.38,dancehall
I Want You,Air Supply,0.9851,0.0,0.74,0.26,6,False,0.8,0.866,10,-9.256,0,0.0532,0.00028,0.21,0.0295,0.546,126.371,chicago-house
I'm Alive,Air Supply,0.9961,0.009,0.633,0.357,62,False,0.636,0.862,5,-2.386,0,0.0464,0.156,0.0,0.144,0.24,137.94,mandopop
It's Not Too Late,Air Supply,0.9955,0.091,0.657,0.252,45,False,0.479,0.659,1,-7.632,0,0.0351,0.264,0.0333,0.13,0.178,154.034,dubstep
Make It Right,Air Supply,0.3182,0.075,0.823,0.102,70,False,0.639,0.706,7,-7.874,1,0.448,0.0104,0.0,0.132,0.259,105.782,k-pop
Miracles,Air Supply,0.9248,0.052,0.819,0.129,45,False,0.536,0.9,5,-4.156,1,0.0392,0.0108,7.35e-06,0.157,0.671,147.969,hardstyle
My Best Friend,Air Supply,0.9876,0.032,0.661,0.307,36,False,0.57,0.838,2,-6.17,1,0.0257,0.000186,0.0,0.08,0.454,105.977,world-music
O Come All Ye Faithful,Air Supply,0.997,0.0,0.614,0.386,0,False,0.516,0.818,11,-6.076,1,0.0393,0.00701,0.0,0.337,0.769,121.907,alt-rock
One Step Closer,Air Supply,-0.5994,0.079,0.862,0.059,78,False,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,alternative
Sleigh Ride,Air Supply,0.9956,0.036,0.751,0.213,0,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,blues
Sunset,Air Supply,0.9822,0.069,0.706,0.225,8,False,0.828,0.561,8,-14.628,0,0.0538,0.00215,0.913,0.0617,0.728,120.04,chicago-house
Sweet Dreams,Air Supply,0.9924,0.022,0.72,0.257,58,False,0.288,0.0938,11,-15.741,1,0.0365,0.742,0.0557,0.127,0.119,119.256,children
The First Noel,Air Supply,0.93,0.021,0.863,0.116,0,False,0.458,0.351,10,-6.049,1,0.0244,0.696,0.0,0.143,0.102,79.993,country
Winter Wonderland,Air Supply,0.899,0.044,0.855,0.101,0,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,acoustic
If,Aiza Seguerra,-0.0387,0.053,0.902,0.044,45,False,0.508,0.103,6,-21.981,0,0.0293,0.918,0.618,0.108,0.196,102.977,psych-rock
If We Try,Aiza Seguerra,0.9525,0.039,0.86,0.101,0,False,0.565,0.403,2,-12.425,1,0.0303,0.674,0.0,0.103,0.48,109.62,folk
Laughter In The Rain,Aiza Seguerra,0.9991,0.021,0.552,0.426,67,False,0.495,0.613,5,-9.463,1,0.0239,0.348,0.0058,0.0406,0.924,100.535,rockabilly
Open Arms,Aiza Seguerra,0.4174,0.049,0.863,0.088,70,False,0.405,0.21,2,-13.214,1,0.0279,0.584,0.0,0.139,0.174,100.577,hard-rock
Sorry,Aiza Seguerra,-0.9957,0.34,0.551,0.109,23,False,0.37,0.72,0,-6.303,1,0.038,0.609,0.532,0.112,0.716,160.09,bluegrass
Christmas Is Love,Alabama,0.9986,0.0,0.559,0.441,0,False,0.584,0.654,9,-5.902,0,0.0635,0.359,5.92e-06,0.0798,0.708,122.065,funk
Fantasy,Alabama,0.9872,0.0,0.714,0.286,11,False,0.601,0.75,9,-11.947,1,0.0419,0.0608,0.374,0.0639,0.222,132.004,breakbeat
Fire On Fire,Alabama,-0.9922,0.25,0.675,0.076,78,False,0.584,0.408,1,-7.356,0,0.0461,0.476,0.0,0.18,0.333,115.129,dance
Fireworks,Alabama,0.9519,0.034,0.88,0.087,49,False,0.492,0.501,2,-13.694,1,0.0489,0.28,0.893,0.121,0.0726,99.964,british
Goodbye,Alabama,0.994,0.08,0.618,0.302,60,False,0.484,0.457,1,-13.976,0,0.0456,0.406,0.646,0.297,0.187,87.159,ambient
Hey Baby,Alabama,0.8279,0.0,0.94,0.06,0,False,0.705,0.871,11,-3.557,0,0.123,0.0618,0.0,0.226,0.749,93.625,alt-rock
Hollywood,Alabama,-0.3466,0.06,0.882,0.058,26,True,0.628,0.933,6,-11.465,0,0.935,0.836,0.0,0.89,0.122,101.775,comedy
If I Had You,Alabama,0.9593,0.03,0.808,0.162,0,False,0.501,0.105,0,-14.701,1,0.0368,0.969,0.00364,0.106,0.152,136.885,jazz
Little Things,Alabama,0.9231,0.039,0.872,0.09,34,False,0.664,0.892,1,-3.238,1,0.0333,0.119,0.867,0.118,0.288,123.014,club
Reckless,Alabama,0.9652,0.11,0.739,0.152,57,False,0.461,0.467,0,-7.628,1,0.0586,0.00766,0.0,0.11,0.167,74.686,chill
The Boy,Alabama,0.9413,0.056,0.824,0.121,24,True,0.445,0.924,6,-12.445,1,0.926,0.77,0.0,0.975,0.0383,80.183,comedy
